ID_Focal_Class,Cyclomatic_Complexity_Focal_Class,Lines_Of_Code_Focal_Class,Generator(LLM/EVOSUITE),Prompt_Technique,Branch_Coverage,Line_Coverage,Method_Coverage,Compilation,Mutation_Coverage,Post_Repair_Mutation_Coverage,Mutation_Applied,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Chance,Total_Prompt_Tokens,Total_Completion_Tokens,Iterations_to_Pass,High_Signal,Signal_Reason,Sample_Key,Worker
42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex,14,42,codex-cli,iterative-healing,37.5,28.57,40,1,100,100,"exception:modifyTagInSearchIndex:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,1,0,0,1,1,active_mutation,42949039_429,w50r17a
42949039_ConfigurationHelper::getProperty,24,56,codex-cli,iterative-healing,37.5,30.36,25,1,55.56,55.56,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,13,0,0,0,0,1,0,0,2,25,4,0,0,0,25,0,-,-,1,0,0,1,1,active_mutation,42949039_43,w50r17a
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,13,41,codex-cli,iterative-healing,66.67,51.22,60,1,100,100,signature:modifyTagsInSearchIndex:behavioral-mutation,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,1,0,0,1,1,active_mutation,42949039_430,w50r17a
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,13,41,codex-cli,iterative-healing,33.33,31.71,50,1,100,100,signature:modifyTagsInSearchIndex:behavioral-mutation,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,1,0,0,1,1,active_mutation,42949039_431,w50r17a
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation,42949039_432,w50r17a
42949039_StorageFileDaoHelper::createStorageFileEntitiesFromStorageFiles,13,31,codex-cli,iterative-healing,33.33,48.39,50,1,45.45,45.45,"exception:createStorageFileEntitiesFromStorageFiles:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,1,0,0,1,1,active_mutation,42949039_433,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,iterative-healing,16.67,16.13,50,1,37.5,37.5,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,1,0,0,1,1,active_mutation,42949039_434,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,iterative-healing,16.67,16.13,50,1,25,25,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,1,0,0,1,1,active_mutation,42949039_435,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,iterative-healing,22.22,19.35,50,1,37.5,37.5,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,1,0,0,1,1,active_mutation,42949039_436,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,iterative-healing,33.33,29.03,50,1,75,75,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,1,0,0,1,1,active_mutation,42949039_437,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,iterative-healing,33.33,29.03,50,1,37.5,37.5,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,1,0,0,1,1,active_mutation,42949039_438,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation,42949039_439,w50r17a
42949039_ConfigurationHelper::getProperty,24,56,codex-cli,iterative-healing,31.25,26.79,25,1,50,50,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,0,no_context_safe_active_mutant,42949039_44,w50r17a
42949039_StorageHelper::getStorageAttributeValueByName,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation,42949039_440,w50r17a
42949039_StorageHelper::getStorageAttributeValueByName,30,77,codex-cli,iterative-healing,43.33,22.08,26.67,1,50,50,"exception:getStorageAttributeValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,0,quiet_mutation_after_3_attempts,42949039_441,w50r17a
42949039_StorageHelper::getStorageAttributeIntegerValueByName,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation,42949039_442,w50r17a
