"ID_Focal_Class","Cyclomatic_Complexity_Focal_Class","Lines_Of_Code_Focal_Class","Generator(LLM/EVOSUITE)","Prompt_Technique","Branch_Coverage","Line_Coverage","Method_Coverage","Compilation","Mutation_Coverage","Post_Repair_Mutation_Coverage","Mutation_Applied","NumberOfMethods","Assertion Roulette","Conditional Test Logic","Constructor Initialization","Default Test","EmptyTest","Exception Catching Throwing","General Fixture","Mystery Guest","Print Statement","Redundant Assertion","Sensitive Equality","Verbose Test","Sleepy Test","Eager Test","Lazy Test","Duplicate Assert","Unknown Test","IgnoredTest","Resource Optimism","Magic Number Test","Dependent Test","Chance","Total_Prompt_Tokens","Total_Completion_Tokens","Iterations_to_Pass","High_Signal","Signal_Reason","Sample_Key","Worker"
"42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex","13","41","human","-","16.67","26.83","40.0","1","100.0","100","exception:modifyTagInSearchIndex:AssertionError(""AGONE_MUTATION_TRIGGER"")","0","0","0","0","4","0","0","0","0","0","0","0","0","13","0","9","0","0","13","0","-","-","0","0","0","0","-","-","42949039_429","w50r17a"
"42949039_ConfigurationHelper::getProperty","23","55","human","-","28.57","29.09","25.0","1","50.0","50.0","exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")","0","0","0","0","13","0","0","0","0","1","0","0","1","24","4","0","0","0","25","0","-","-","0","0","0","0","-","-","42949039_43","w50r17a"
"42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex","13","41","human","-","50.0","48.78","60.0","1","100.0","100","signature:modifyTagsInSearchIndex:behavioral-mutation","0","0","0","0","4","0","0","0","0","0","0","0","0","13","0","9","0","0","13","0","-","-","0","0","0","0","-","-","42949039_430","w50r17a"
"42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex","13","41","human","-","33.33","31.71","50.0","1","100.0","100","signature:modifyTagsInSearchIndex:behavioral-mutation","0","0","0","0","4","0","0","0","0","0","0","0","0","13","0","9","0","0","13","0","-","-","0","0","0","0","-","-","42949039_431","w50r17a"
"42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex","13","41","human","-","50.0","34.15","60.0","1","100.0","100","signature:modifyTagsInSearchIndex:behavioral-mutation","0","0","0","0","4","0","0","0","0","0","0","0","0","13","0","9","0","0","13","0","-","-","0","0","0","0","-","-","42949039_432","w50r17a"
"42949039_StorageFileDaoHelper::createStorageFileEntitiesFromStorageFiles","12","30","human","-","25.0","46.67","50.0","1","40.0","40","exception:createStorageFileEntitiesFromStorageFiles:AssertionError(""AGONE_MUTATION_TRIGGER"")","0","0","0","0","3","0","0","0","0","0","0","0","0","9","3","0","0","0","9","0","-","-","0","0","0","0","-","-","42949039_433","w50r17a"
"42949039_StorageFileDaoHelper::getStorageFileEntity","12","30","human","-","6.25","13.33","50.0","1","28.57","28.57","exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")","0","0","0","0","3","0","0","0","0","0","0","0","0","9","3","0","0","0","9","0","-","-","0","0","0","0","-","-","42949039_434","w50r17a"
"42949039_StorageFileDaoHelper::getStorageFileEntity","12","30","human","-","6.25","13.33","50.0","1","14.29","14.29","exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")","0","0","0","0","3","0","0","0","0","0","0","0","0","9","3","0","0","0","9","0","-","-","0","0","0","0","-","-","42949039_435","w50r17a"
"42949039_StorageFileDaoHelper::getStorageFileEntity","12","30","human","-","12.5","16.67","50.0","1","28.57","28.57","exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")","0","0","0","0","3","0","0","0","0","0","0","0","0","9","3","0","0","0","9","0","-","-","0","0","0","0","-","-","42949039_436","w50r17a"
"42949039_StorageFileDaoHelper::getStorageFileEntity","12","30","human","-","25.0","26.67","50.0","1","71.43","71.43","exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")","0","0","0","0","3","0","0","0","0","0","0","0","0","9","3","0","0","0","9","0","-","-","0","0","0","0","-","-","42949039_437","w50r17a"
