ID_Focal_Class,Cyclomatic_Complexity_Focal_Class,Lines_Of_Code_Focal_Class,Generator(LLM/EVOSUITE),Prompt_Technique,Branch_Coverage,Line_Coverage,Method_Coverage,Compilation,Mutation_Coverage,Post_Repair_Mutation_Coverage,Mutation_Applied,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Chance,Total_Prompt_Tokens,Total_Completion_Tokens,Iterations_to_Pass,High_Signal,Signal_Reason,Sample_Key,Worker
42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex,14,42,codex-cli,regenerative-sync,37.5,28.57,40,1,100,100,"exception:modifyTagInSearchIndex:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,4,0,0,0,0,0,0,0,0,14,0,7,0,0,14,0,-,-,1,0,0,1,1,active_mutation,42949039_429,w50r17a
42949039_ConfigurationHelper::getProperty,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,1,1,active_mutation,42949039_43,w50r17a
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,13,41,codex-cli,regenerative-sync,83.33,51.22,60,1,50,50,signature:modifyTagsInSearchIndex:behavioral-mutation,1,0,0,0,5,0,0,0,0,0,0,0,0,13,0,8,0,0,13,0,-,-,0,0,0,0,1,active_mutation,42949039_430,w50r17a
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,13,41,codex-cli,regenerative-sync,33.33,31.71,50,1,100,100,signature:modifyTagsInSearchIndex:behavioral-mutation,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,1,0,0,1,1,active_mutation,42949039_431,w50r17a
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation,42949039_432,w50r17a
42949039_StorageFileDaoHelper::createStorageFileEntitiesFromStorageFiles,13,31,codex-cli,regenerative-sync,38.89,51.61,50,1,90.91,90.91,"exception:createStorageFileEntitiesFromStorageFiles:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,4,0,0,0,0,0,0,0,0,10,2,0,0,0,10,0,-,-,0,0,0,0,1,active_mutation,42949039_433,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,regenerative-sync,16.67,16.13,50,1,37.5,37.5,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,4,0,0,0,0,0,0,0,0,10,3,0,0,0,10,0,-,-,0,0,0,0,1,active_mutation,42949039_434,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,regenerative-sync,16.67,16.13,50,1,25,25,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,4,0,0,0,0,0,0,0,0,10,3,0,0,0,10,0,-,-,0,0,0,0,1,active_mutation,42949039_435,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,regenerative-sync,38.89,29.03,50,1,75,75,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,0,0,0,0,1,active_mutation,42949039_436,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,regenerative-sync,33.33,29.03,50,1,75,75,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,4,0,0,0,0,0,0,0,0,10,3,0,0,0,10,0,-,-,0,0,0,0,1,active_mutation,42949039_437,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,13,31,codex-cli,regenerative-sync,38.89,29.03,50,1,25,25,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,0,0,0,0,1,active_mutation,42949039_438,w50r17a
42949039_StorageFileDaoHelper::getStorageFileEntity,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation,42949039_439,w50r17a
42949039_ConfigurationHelper::getProperty,24,56,codex-cli,regenerative-sync,6.25,5.36,18.75,1,50,50,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,0,no_context_safe_active_mutant,42949039_44,w50r17a
42949039_StorageHelper::getStorageAttributeValueByName,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation,42949039_440,w50r17a
42949039_StorageHelper::getStorageAttributeValueByName,31,78,codex-cli,regenerative-sync,40.62,21.79,26.67,1,50,50,"exception:getStorageAttributeValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,0,quiet_mutation_after_3_attempts,42949039_441,w50r17a
42949039_StorageHelper::getStorageAttributeIntegerValueByName,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation,42949039_442,w50r17a
42949039_StorageHelper::getStorageAttributeIntegerValueByName,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation,42949039_443,w50r17a
42949039_ConfigurationHelper::getProperty,24,56,codex-cli,regenerative-sync,6.25,5.36,18.75,1,37.5,37.5,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,0,no_context_safe_active_mutant,42949039_45,w50r17a
42949039_ConfigurationHelper::getProperty,24,56,codex-cli,regenerative-sync,6.25,5.36,18.75,1,25,25,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,0,no_context_safe_active_mutant,42949039_46,w50r17a
42949039_ConfigurationHelper::getProperty,24,56,codex-cli,regenerative-sync,6.25,5.36,18.75,1,25,25,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,0,no_context_safe_active_mutant,42949039_47,w50r17a
42949039_ConfigurationHelper::getProperty,24,56,codex-cli,regenerative-sync,37.5,26.79,31.25,1,66.67,66.67,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,15,0,0,0,0,1,0,0,3,27,4,0,0,0,26,0,-,-,1,0,0,1,1,active_mutation,42949039_48,w50r17a
42949039_ConfigurationHelper::getProperty,23,55,codex-cli,regenerative-sync,28.57,23.64,25,1,62.5,62.5,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,0,quiet_mutation_after_2_attempts,42949039_49,w50r17a
42949039_SwaggerGenMojo::execute,19,66,codex-cli,regenerative-sync,34.62,69.7,83.33,1,14.29,14.29,logical:execute:!->,0,0,0,0,7,0,6,0,0,0,0,0,0,7,0,0,0,6,7,0,-,-,0,0,0,0,1,active_mutation,42949039_5,w50r17a
42949039_ConfigurationHelper::getProperty,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,1,1,active_mutation,42949039_50,w50r17a
42949039_ConfigurationHelper::getBigDecimalRequiredProperty,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,1,1,active_mutation,42949039_51,w50r17a
42949039_StorageHelper::getStorageAttributeIntegerValueByName,30,77,codex-cli,regenerative-sync,23.33,22.08,26.67,1,40,40,logical:getStorageAttributeIntegerValueByName:!->,1,0,0,0,13,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_444,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,30,77,codex-cli,regenerative-sync,23.33,22.08,26.67,1,40,40,logical:getStorageAttributeIntegerValueByName:!->,1,0,0,0,12,0,0,0,0,0,0,0,3,35,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_445,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,31.25,24.36,26.67,1,50,50,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,12,0,0,0,0,0,0,0,3,35,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_446,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,30,77,codex-cli,regenerative-sync,26.67,22.08,26.67,1,40,40,logical:getStorageAttributeIntegerValueByName:!->,1,0,0,0,12,0,0,0,0,0,0,0,3,37,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_447,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation,42949039_448,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,18.75,16.67,26.67,1,16.67,16.67,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,13,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_449,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,37.5,24.36,26.67,1,50,50,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,12,0,0,0,0,0,0,0,3,35,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_450,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,46.88,24.36,26.67,1,66.67,66.67,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,13,0,0,0,0,0,0,0,3,35,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_451,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,25,19.23,26.67,1,16.67,16.67,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_452,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation,42949039_453,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,28.12,21.79,26.67,1,16.67,16.67,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,13,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_454,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,21.88,21.79,33.33,1,83.33,83.33,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",3,0,0,0,14,0,0,0,0,0,0,0,2,35,0,0,0,0,24,0,-,-,0,0,0,0,1,active_mutation,42949039_455,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,21.88,21.79,33.33,1,83.33,83.33,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation,42949039_456,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,34.38,29.49,33.33,1,50,50,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",3,0,0,0,13,0,0,0,0,0,0,0,3,36,0,0,0,0,24,0,-,-,0,0,0,0,1,active_mutation,42949039_457,w50r17b
42949039_StorageHelper::getStorageAttributeIntegerValueByName,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation,42949039_458,w50r17b
