ID_Focal_Class,Cyclomatic_Complexity_Focal_Class,Lines_Of_Code_Focal_Class,Generator(LLM/EVOSUITE),Prompt_Technique,Branch_Coverage,Line_Coverage,Method_Coverage,Compilation,Mutation_Coverage,Post_Repair_Mutation_Coverage,Mutation_Applied,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Chance,Total_Prompt_Tokens,Total_Completion_Tokens,Iterations_to_Pass,High_Signal,Signal_Reason
42949039_SwaggerGenMojo::execute,19,66,human,-,30.77,63.64,83.33,1,57.14,57.14,"exception:execute:AssertionError(""AGONE_MUTATION_TRIGGER"")",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-
42949039_SwaggerGenMojo::execute,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation
42949039_SwaggerGenMojo::execute,20,67,codex-cli,regenerative-sync,35.71,64.18,83.33,1,62.5,62.5,"exception:execute:AssertionError(""AGONE_MUTATION_TRIGGER"")",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,active_mutation
42949039_ConfigurationHelper::getProperty,23,55,human,-,28.57,25.45,31.25,1,75.0,75,logical:getProperty:==->!=,0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,-,-
42949039_ConfigurationHelper::getProperty,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation
42949039_ConfigurationHelper::getProperty,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation
42949039_ConfigurationHelper::getBigDecimalRequiredProperty,23,55,human,-,35.71,38.18,37.5,1,33.33,33.33,"exception:getNonNegativeBigDecimalRequiredProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,-,-
42949039_ConfigurationHelper::getBigDecimalRequiredProperty,24,56,codex-cli,iterative-healing,31.25,37.5,37.5,1,33.33,33.33,"exception:getNonNegativeBigDecimalRequiredProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,0,quiet_mutation_after_2_attempts
42949039_ConfigurationHelper::getBigDecimalRequiredProperty,23,55,codex-cli,regenerative-sync,35.71,38.18,37.5,1,33.33,33.33,"exception:getNonNegativeBigDecimalRequiredProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,0,quiet_mutation_after_2_attempts
42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex,13,41,human,-,16.67,26.83,40.0,1,100.0,100,"exception:modifyTagInSearchIndex:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,0,0,0,0,-,-
42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation
42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,13,41,human,-,50.0,48.78,60.0,1,100.0,100,signature:modifyTagsInSearchIndex:behavioral-mutation,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,0,0,0,0,-,-
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation
