ID_Focal_Class,Cyclomatic_Complexity_Focal_Class,Lines_Of_Code_Focal_Class,Generator(LLM/EVOSUITE),Prompt_Technique,Branch_Coverage,Line_Coverage,Method_Coverage,Compilation,Mutation_Coverage,Post_Repair_Mutation_Coverage,Mutation_Applied,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Chance,Total_Prompt_Tokens,Total_Completion_Tokens,Iterations_to_Pass,High_Signal,Signal_Reason
42949039_SwaggerGenMojo::execute,19,66,human,-,30.77,63.64,83.33,1,57.14,57.14,logical:execute:!->,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,0,0,7,7,0,-,-,0,0,0,0,-,-
42949039_SwaggerGenMojo::execute,19,66,codex-cli,iterative-healing,34.62,66.67,83.33,1,42.86,42.86,logical:execute:!->,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,0,0,7,7,0,-,-,3,0,0,3,1,active_mutation
42949039_SwaggerGenMojo::execute,19,66,codex-cli,regenerative-sync,34.62,69.7,83.33,1,14.29,14.29,logical:execute:!->,0,0,0,0,7,0,6,0,0,0,0,0,0,7,0,0,0,6,7,0,-,-,0,0,0,0,1,active_mutation
42949039_ConfigurationHelper::getProperty,23,55,human,-,28.57,25.45,31.25,1,75.0,75.0,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,-,-
42949039_ConfigurationHelper::getProperty,24,56,codex-cli,iterative-healing,37.5,26.79,31.25,1,77.78,77.78,"exception:getProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,13,0,0,0,0,1,0,0,2,25,4,0,0,0,25,0,-,-,1,0,0,1,1,active_mutation
42949039_ConfigurationHelper::getProperty,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,1,1,active_mutation
42949039_ConfigurationHelper::getBigDecimalRequiredProperty,23,55,human,-,35.71,38.18,37.5,1,33.33,33.33,"exception:getBigDecimalRequiredProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,13,0,0,0,0,1,0,0,1,24,4,0,0,0,25,0,-,-,0,0,0,0,-,-
42949039_ConfigurationHelper::getBigDecimalRequiredProperty,24,56,codex-cli,iterative-healing,43.75,39.29,37.5,1,50.0,50.0,"exception:getBigDecimalRequiredProperty:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,13,0,0,0,0,1,0,0,2,25,4,0,0,0,25,0,-,-,1,0,0,1,1,active_mutation
42949039_ConfigurationHelper::getBigDecimalRequiredProperty,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,1,1,active_mutation
42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex,13,41,human,-,16.67,26.83,40.0,1,100.0,100,"exception:modifyTagInSearchIndex:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,0,0,0,0,-,-
42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex,14,42,codex-cli,iterative-healing,37.5,28.57,40.0,1,100.0,100,"exception:modifyTagInSearchIndex:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,1,0,0,1,1,active_mutation
42949039_SearchIndexUpdateHelper::modifyTagInSearchIndex,14,42,codex-cli,regenerative-sync,37.5,28.57,40.0,1,100.0,100,"exception:modifyTagInSearchIndex:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,4,0,0,0,0,0,0,0,0,14,0,7,0,0,14,0,-,-,1,0,0,1,1,active_mutation
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,13,41,human,-,50.0,34.15,60.0,1,100.0,100,signature:modifyTagsInSearchIndex:behavioral-mutation,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,9,0,0,13,0,-,-,0,0,0,0,-,-
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation
42949039_SearchIndexUpdateHelper::modifyTagsInSearchIndex,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation
42949039_StorageFileDaoHelper::createStorageFileEntitiesFromStorageFiles,12,30,human,-,25.0,46.67,50.0,1,40.0,40,"exception:createStorageFileEntitiesFromStorageFiles:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,0,0,0,0,-,-
42949039_StorageFileDaoHelper::createStorageFileEntitiesFromStorageFiles,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation
42949039_StorageFileDaoHelper::createStorageFileEntitiesFromStorageFiles,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation
42949039_StorageFileDaoHelper::getStorageFileEntity,12,30,human,-,18.75,23.33,50.0,1,14.29,14.29,"exception:getStorageFileEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,-,-,0,0,0,0,-,-
42949039_StorageFileDaoHelper::getStorageFileEntity,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation
42949039_StorageFileDaoHelper::getStorageFileEntity,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation
42949039_StorageHelper::getStorageAttributeValueByName,30,77,human,-,43.33,22.08,26.67,1,50.0,50,"exception:getStorageAttributeValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,-,-
42949039_StorageHelper::getStorageAttributeValueByName,30,77,codex-cli,iterative-healing,43.33,22.08,26.67,1,50.0,50,"exception:getStorageAttributeValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,0,quiet_mutation_after_3_attempts
42949039_StorageHelper::getStorageAttributeValueByName,31,78,codex-cli,regenerative-sync,40.62,21.79,26.67,1,50.0,50,"exception:getStorageAttributeValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,0,quiet_mutation_after_3_attempts
42949039_StorageHelper::getStorageAttributeIntegerValueByName,30,77,human,-,26.67,23.38,26.67,1,60.0,60,logical:getStorageAttributeIntegerValueByName:!->,1,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,-,-
